visible_minority,total_15_years_and_over,x15_to_24_years,x25_to_44_years,x45_to_64_years,x65_years_and_over
"Total, by visible minority group",28008860,4155440,8940410,9695840,5217160
Total visible minority population,5962550,1164020,2380750,1744220,673560
South Asian,1503270,274250,610490,429650,188880
Chinese,1300630,254580,425140,428460,192440
Black,866600,184270,355660,234680,91990
Filipino,621110,126880,267870,177570,48790
Latin American,378100,67250,180450,102820,27580
Arab,356840,77730,154910,97370,26830
Southeast Asian,255620,48140,99230,83410,24840
West Asian,231550,36670,112020,60820,22040
Korean,151610,30520,58990,46640,15450
Japanese,64150,11700,23570,19070,9810
"Visible minority, not included elsewhere",92880,13410,37020,29670,12770
Multiple visible minorities,140190,38620,55380,34070,12120
Not a visible minority,22045360,2991430,6559570,7951620,4542750
Not specified,NA,NA,NA,NA,NA
